Region,Board Games,Family Games,Party Games,Strategy Games
Utah,100,100,100,100
Oregon,89,65,,93
Wisconsin,89,85,85,93
Minnesota,84,69,88,92
Colorado,84,70,71,74
Nebraska,81,70,,
Iowa,81,70,,
Washington,80,67,92,82
Idaho,79,77,,
North Dakota,79,,,
Indiana,78,67,81,69
Vermont,78,,,
Kansas,76,74,,
Virginia,75,55,70,75
Missouri,74,72,,60
Michigan,73,61,86,63
South Dakota,73,78,,
Pennsylvania,69,51,70,62
Ohio,67,63,80,73
Alaska,67,,,
Montana,67,77,,
Massachusetts,67,52,80,73
Illinois,66,55,76,57
Wyoming,65,,,
New Hampshire,64,52,,
Kentucky,64,65,,
Arizona,63,58,63,59
California,63,45,75,50
Maryland,63,54,78,51
New York,62,48,63,49
Connecticut,61,58,,58
Oklahoma,61,72,,
New Mexico,61,64,,
Tennessee,60,60,56,57
District of Columbia,60,,,
New Jersey,60,54,69,53
Nevada,60,55,,
Maine,59,47,,
Rhode Island,58,,,
Arkansas,58,52,,
Texas,58,50,61,46
North Carolina,58,56,58,57
Delaware,56,,,
West Virginia,56,67,,
South Carolina,55,51,,
Alabama,54,53,,
Louisiana,53,48,,
Georgia,52,49,59,44
Florida,51,42,50,38
Hawaii,48,72,,
Mississippi,47,55,,
