name,game_id,rating,complexity_rating,year_published,min_players,max_players,min_play_time,max_play_time,min_age,owned_by,top_2000
Die Macher,1,7.59717,4.3153,1986,3,5,240,240,14,8015,1
Dragonmaster,2,6.6506,1.9636,1981,3,4,30,30,12,1372,0
Samurai,3,7.46109,2.4768,1998,2,4,30,60,10,16459,1
Tal der Könige,4,6.6191,2.6667,1992,2,4,60,60,12,674,0
Acquire,5,7.33449,2.5,1964,2,6,90,90,12,25476,1
Mare Mediterraneum,6,6.51012,3,1989,2,6,240,240,12,129,0
Cathedral,7,6.53825,1.7872,1978,2,2,20,20,8,6579,0
Lords of Creation,8,6.07014,2.4,1993,2,5,120,120,12,561,0
El Caballero,9,6.44931,3.184,1998,2,4,90,90,13,2719,0
Elfenland,10,6.68403,2.1547,1998,2,6,60,60,10,10911,1
Bohnanza,11,7.04784,1.6696,1997,2,7,45,45,12,68570,1
Ra,12,7.57393,2.3386,1999,2,5,45,60,12,26484,1
CATAN,13,7.10442,2.2991,1995,3,4,60,120,10,195083,1
Basari,14,6.74853,1.8571,1998,3,4,25,25,10,1967,0
Cosmic Encounter,15,6.9218,2.3706,1977,2,6,90,90,12,4429,1
MarraCash,16,6.89904,2.1489,1996,3,4,60,60,12,1297,0
Button Men,17,6.36373,1.52,1999,2,2,5,5,10,1405,0
RoboRally,18,7.06269,2.4291,1994,2,8,45,120,12,27322,1
Wacky Wacky West,19,6.2731,1.8221,1991,2,4,30,45,9,3547,0
Full Metal Planète,20,7.51624,3.1429,1988,2,4,90,90,12,1063,0
Magic Realm,22,7.28288,4.5468,1979,1,16,60,240,12,4071,1
Divine Right,23,7.15386,3.2,1979,2,6,360,360,12,1184,0
Twilight Imperium,24,6.63135,3.4444,1997,2,6,240,240,12,890,0
Battlemist,25,5.91306,3.2,1998,2,6,200,200,12,686,0
Age of Renaissance,26,7.09263,3.8535,1996,3,6,120,300,12,2938,1
Supremacy: The Game of the Superpowers,27,5.67559,3.124,1984,2,6,120,300,12,2419,0
Illuminati,28,6.47361,2.6544,1987,2,6,60,180,12,9320,0
Terrain Vague,29,6.65214,3.25,1993,2,4,120,120,10,222,0
