BGGId,Name,YearPublished,Complexity,ComplexityCategory,AvgRating,MinPlayers,MaxPlayers,NumOwned,MfgPlaytime,ComMinPlaytime,ComMaxPlaytime,MfgAgeRec,NumUserRatings,TotalMechanics,boardgamerank,strategygamesrank,abstractsrank,familygamesrank,thematicrank,cgsrank,wargamesrank,partygamesrank,childrensgamesrank,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens
174430,Gloomhaven,2017,3.8699,High complexity,8.74997,1,4,76471,120,60,120,14,47151,20,1,1,21926,21926,1,21926,21926,21926,21926,1,1,0,0,0,0,0,0
161936,Pandemic Legacy: Season 1,2015,2.8336,Average complexity,8.59678,2,4,69952,60,60,60,13,44614,8,2,3,21926,21926,2,21926,21926,21926,21926,1,1,0,0,0,0,0,0
224517,Brass: Birmingham,2018,3.9058,High complexity,8.66562,2,4,36959,120,60,120,14,24849,8,3,2,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
167791,Terraforming Mars,2016,3.2441,High complexity,8.41879,1,5,99827,120,120,120,12,73093,11,4,6,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
233078,Twilight Imperium: Fourth Edition,2017,4.2497,High complexity,8.67916,3,6,20038,480,240,480,14,15736,15,5,4,21926,21926,3,21926,21926,21926,21926,1,1,0,0,0,0,0,0
291457,Gloomhaven: Jaws of the Lion,2020,3.5779,High complexity,8.6961,1,4,36046,120,30,120,14,15062,17,6,5,21926,21926,4,21926,21926,21926,21926,1,1,0,0,0,0,0,0
220308,Gaia Project,2017,4.3617,High complexity,8.47909,1,4,23772,150,60,150,12,18791,11,7,7,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
187645,Star Wars: Rebellion,2016,3.7229,High complexity,8.42432,2,4,38785,240,180,240,14,25270,8,8,21926,21926,21926,5,21926,21926,21926,21926,1,0,0,0,0,0,0,0
182028,Through the Ages: A New Story of Civilization,2015,4.4142,High complexity,8.38861,2,4,29759,120,120,120,14,25341,7,9,8,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
115746,War of the Ring: Second Edition,2012,4.174,High complexity,8.50988,2,4,24622,180,150,180,13,15247,12,10,21926,21926,21926,6,21926,1,21926,21926,1,0,1,0,0,0,0,0
162886,Spirit Island,2017,4.0262,High complexity,8.3583,1,4,46171,120,90,120,13,31411,11,11,10,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
193738,Great Western Trail,2016,3.7108,High complexity,8.29585,2,4,39288,150,75,150,12,32599,9,12,9,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
12333,Twilight Struggle,2005,3.5905,High complexity,8.28096,2,2,59214,180,120,180,13,42826,11,13,11,21926,21926,21926,21926,2,21926,21926,0,1,1,0,0,0,0,0
169786,Scythe,2016,3.4251,High complexity,8.21978,1,5,84830,115,90,115,14,63779,14,14,12,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
84876,The Castles of Burgundy,2011,3,High complexity,8.12711,2,4,66765,90,30,90,12,50099,7,15,14,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
173346,7 Wonders Duel,2015,2.2257,Average complexity,8.1073,2,2,108774,30,30,30,10,68294,6,16,19,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
167355,Nemesis,2018,3.3824,High complexity,8.38958,1,5,25254,180,90,180,12,17109,11,17,21926,21926,21926,8,21926,21926,21926,21926,1,0,0,0,0,0,0,0
120677,Terra Mystica,2012,3.9666,High complexity,8.12673,2,5,45266,150,60,150,12,41541,10,18,18,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
124361,Concordia,2013,3.0185,High complexity,8.1209,2,5,36020,100,100,100,13,31147,10,19,16,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
28720,Brass: Lancashire,2007,3.8614,High complexity,8.18111,2,4,27208,120,60,120,14,20770,7,20,13,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
177736,A Feast for Odin,2016,3.8535,High complexity,8.20167,1,4,26460,120,30,120,12,19740,9,21,15,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
266192,Wingspan,2019,2.4387,Average complexity,8.09896,1,5,80435,70,40,70,10,54404,7,22,24,21926,1,21926,21926,21926,21926,21926,0,1,0,1,0,0,0,0
316554,Dune: Imperium,2020,2.9647,Average complexity,8.31354,1,4,21447,120,60,120,14,13659,8,23,17,21926,21926,9,21926,21926,21926,21926,1,1,0,0,0,0,0,0
205637,Arkham Horror: The Card Game,2016,3.4738,High complexity,8.16597,1,2,58471,120,60,120,14,32494,15,24,21926,21926,21926,11,1,21926,21926,21926,1,0,0,0,1,0,0,0
183394,Viticulture Essential Edition,2015,2.8941,Average complexity,8.06003,1,6,46415,90,45,90,13,34119,5,25,22,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
164928,Orléans,2014,3.0412,High complexity,8.07585,2,4,29902,90,90,90,12,24322,3,26,20,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
237182,Root,2018,3.7068,High complexity,8.09812,2,4,47194,90,60,90,10,30738,10,27,29,21926,21926,21926,21926,16,21926,21926,0,1,1,0,0,0,0,0
